fname,label,manually_verified,freesound_id,license
00044347.wav,Hi-hat,0.0,28739.0,Attribution
001ca53d.wav,Saxophone,1.0,358827.0,Attribution
002d256b.wav,Trumpet,0.0,10897.0,Creative Commons 0
0033e230.wav,Glockenspiel,1.0,325017.0,Attribution
00353774.wav,Cello,1.0,195688.0,Attribution
003b91e8.wav,Cello,0.0,77944.0,Attribution
003da8e5.wav,Knock,1.0,164564.0,Creative Commons 0
0048fd00.wav,Gunshot_or_gunfire,1.0,274119.0,Creative Commons 0
004ad66f.wav,Clarinet,0.0,248370.0,Attribution
0063ab88.wav,Computer_keyboard,0.0,210304.0,Creative Commons 0
006f2f32.wav,Hi-hat,1.0,138726.0,Attribution
0075d39c.wav,Keys_jangling,0.0,134885.0,Attribution
00780200.wav,Snare_drum,0.0,59557.0,Creative Commons 0
0079d310.wav,Writing,0.0,185314.0,Attribution
0091fc7f.wav,Cello,1.0,358283.0,Attribution
0097160c.wav,Laughter,1.0,343867.0,Creative Commons 0
00ad7068.wav,Laughter,0.0,42843.0,Attribution
00c5808a.wav,Tearing,0.0,62469.0,Creative Commons 0
00c82919.wav,Fart,0.0,163384.0,Creative Commons 0
00c934d7.wav,Laughter,1.0,179989.0,Attribution
00c9e799.wav,Oboe,0.0,355123.0,Attribution
00cb787c.wav,Flute,1.0,354984.0,Attribution
00ce569f.wav,Hi-hat,0.0,423.0,Attribution
00d1fe46.wav,Cough,0.0,93029.0,Creative Commons 0
00d3bba3.wav,Telephone,1.0,317851.0,Creative Commons 0
00d40fa2.wav,Snare_drum,0.0,51247.0,Creative Commons 0
00d9fa61.wav,Flute,0.0,246714.0,Attribution
00e2b4cd.wav,Bark,1.0,344955.0,Creative Commons 0
00f88dc5.wav,Glockenspiel,1.0,325031.0,Attribution
00fbb28b.wav,Chime,0.0,344532.0,Attribution
00fcbab2.wav,Bass_drum,0.0,318969.0,Creative Commons 0
010aa387.wav,Fart,0.0,58195.0,Attribution
011a2185.wav,Cello,1.0,247475.0,Attribution
0120d246.wav,Bus,0.0,346610.0,Creative Commons 0
01235a12.wav,Squeak,0.0,165107.0,Creative Commons 0
01257aad.wav,Scissors,1.0,272442.0,Creative Commons 0
01302128.wav,Harmonica,0.0,196141.0,Attribution
013264d3.wav,Squeak,0.0,176641.0,Attribution
013c3135.wav,Clarinet,0.0,248414.0,Attribution
01506d76.wav,Scissors,0.0,232934.0,Creative Commons 0
015cf474.wav,Clarinet,0.0,249143.0,Attribution
0160d55e.wav,Gong,1.0,152800.0,Creative Commons 0
01638f61.wav,Writing,0.0,321135.0,Creative Commons 0
0172a2a5.wav,Microwave_oven,1.0,264152.0,Creative Commons 0
017ea24e.wav,Burping_or_eructation,0.0,215371.0,Creative Commons 0
01811e48.wav,Harmonica,0.0,119170.0,Creative Commons 0
0184c390.wav,Cello,0.0,71588.0,Attribution
018863f5.wav,Double_bass,0.0,354236.0,Attribution
018a10bb.wav,Double_bass,0.0,383641.0,Creative Commons 0
018b1df6.wav,Shatter,1.0,204121.0,Attribution
018d1dc4.wav,Hi-hat,0.0,235410.0,Creative Commons 0
0193042e.wav,Fireworks,0.0,335983.0,Creative Commons 0
01974c7c.wav,Hi-hat,0.0,2050.0,Attribution
019aae9d.wav,Fireworks,0.0,328862.0,Attribution
019d2a2c.wav,Bark,1.0,89211.0,Creative Commons 0
01a36643.wav,Tambourine,0.0,276309.0,Creative Commons 0
01a39e95.wav,Shatter,0.0,127545.0,Creative Commons 0
01a59a61.wav,Gong,0.0,4667.0,Attribution
01a59c11.wav,Harmonica,1.0,116871.0,Creative Commons 0
01a5dc85.wav,Double_bass,0.0,354340.0,Attribution
01b9f44a.wav,Telephone,1.0,329781.0,Attribution
01c2f88b.wav,Bass_drum,1.0,91667.0,Creative Commons 0
01d2475c.wav,Writing,0.0,190033.0,Creative Commons 0
01d4dafd.wav,Harmonica,1.0,116869.0,Creative Commons 0
01df7ada.wav,Shatter,0.0,336425.0,Creative Commons 0
01e723f5.wav,Harmonica,1.0,330770.0,Attribution
01ec7a01.wav,Tearing,0.0,18328.0,Attribution
01ee18fd.wav,Microwave_oven,1.0,144232.0,Attribution
01f2e70b.wav,Gunshot_or_gunfire,1.0,350745.0,Creative Commons 0
01fc4661.wav,Oboe,1.0,355132.0,Attribution
020eb9f6.wav,Bark,1.0,4910.0,Attribution
021f8009.wav,Fart,0.0,56919.0,Attribution
022092bc.wav,Keys_jangling,0.0,167876.0,Creative Commons 0
02267a1a.wav,Squeak,0.0,50725.0,Creative Commons 0
02274ee8.wav,Burping_or_eructation,0.0,194480.0,Attribution
022a3507.wav,Bus,1.0,379382.0,Creative Commons 0
022cc908.wav,Knock,1.0,193861.0,Creative Commons 0
0231b9f3.wav,Double_bass,0.0,383566.0,Creative Commons 0
02328c03.wav,Computer_keyboard,0.0,319326.0,Creative Commons 0
0236dccb.wav,Cowbell,0.0,375613.0,Creative Commons 0
023d3434.wav,Microwave_oven,0.0,320453.0,Creative Commons 0
0244bb9e.wav,Fireworks,0.0,56577.0,Attribution
024a193f.wav,Laughter,1.0,209210.0,Creative Commons 0
024c4c6d.wav,Bass_drum,1.0,49750.0,Attribution
024da466.wav,Tambourine,1.0,352296.0,Creative Commons 0
0256c2f2.wav,Keys_jangling,1.0,336200.0,Creative Commons 0
0259e5d2.wav,Hi-hat,0.0,165321.0,Creative Commons 0
025f3fd2.wav,Hi-hat,1.0,137429.0,Attribution
025f7eac.wav,Knock,1.0,103999.0,Creative Commons 0
0262817d.wav,Fart,0.0,71229.0,Attribution
0266774c.wav,Cowbell,0.0,382805.0,Attribution
027482e2.wav,Electric_piano,1.0,132065.0,Attribution
027aa77c.wav,Clarinet,1.0,357015.0,Attribution
027aee2a.wav,Fireworks,1.0,336004.0,Creative Commons 0
027cd3fd.wav,Meow,1.0,118522.0,Creative Commons 0
0286fc27.wav,Double_bass,1.0,354201.0,Attribution
029632ad.wav,Cello,0.0,242166.0,Attribution
029b22f3.wav,Keys_jangling,0.0,9232.0,Attribution
029ee867.wav,Gunshot_or_gunfire,1.0,67577.0,Creative Commons 0
02a3243a.wav,Telephone,1.0,369844.0,Creative Commons 0
02ac1057.wav,Flute,0.0,54043.0,Creative Commons 0
02c095b4.wav,Tearing,0.0,137256.0,Creative Commons 0
02c9a1f1.wav,Writing,0.0,9386.0,Attribution
02d367e4.wav,Clarinet,1.0,357166.0,Attribution
02d6b747.wav,Cough,1.0,98676.0,Creative Commons 0
02d7fba3.wav,Double_bass,0.0,203771.0,Attribution
02dbfc78.wav,Cello,0.0,81031.0,Attribution
02e9392e.wav,Tambourine,1.0,382846.0,Attribution
02eed858.wav,Harmonica,1.0,116951.0,Creative Commons 0
02f8e94d.wav,Clarinet,0.0,249111.0,Attribution
0313ea1a.wav,Flute,0.0,32924.0,Creative Commons 0
032f7280.wav,Drawer_open_or_close,0.0,323417.0,Creative Commons 0
03320f05.wav,Applause,0.0,202498.0,Attribution
0338f669.wav,Cello,0.0,380194.0,Attribution
034beca1.wav,Fireworks,0.0,21412.0,Creative Commons 0
034e4ffa.wav,Trumpet,0.0,194624.0,Attribution
0350156b.wav,Keys_jangling,0.0,220420.0,Attribution
0356dec7.wav,Acoustic_guitar,1.0,24291.0,Attribution
0356f2ab.wav,Tambourine,0.0,117238.0,Creative Commons 0
03586ad9.wav,Cowbell,0.0,375616.0,Creative Commons 0
03657d6d.wav,Shatter,0.0,199906.0,Creative Commons 0
03734652.wav,Squeak,0.0,151638.0,Creative Commons 0
0383c69d.wav,Chime,0.0,84701.0,Attribution
0395ba61.wav,Oboe,0.0,355094.0,Attribution
03a01285.wav,Knock,1.0,182039.0,Attribution
03b4aca1.wav,Meow,1.0,203121.0,Attribution
03bb1c33.wav,Glockenspiel,1.0,348875.0,Creative Commons 0
03bc8fbc.wav,Shatter,0.0,71897.0,Attribution
03cd971f.wav,Cowbell,0.0,159760.0,Creative Commons 0
03d00f38.wav,Knock,0.0,345312.0,Creative Commons 0
